  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   987     1   0  6Jun26 ??         0:31.67 /usr/sbin/universalaccessd launchd -s
  501   989     1   0  6Jun26 ??         0:25.66 /usr/libexec/pboard
  501   991     1   0  6Jun26 ??         0:28.75 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  501   992     1   0  6Jun26 ??         8:10.84 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  501   993     1   0  6Jun26 ??         1:17.43 /usr/libexec/lsd
  501   994     1   0  6Jun26 ??         0:31.28 /usr/libexec/linkd
  501   995     1   0  6Jun26 ??         0:01.52 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  501   996     1   0  6Jun26 ??         0:10.18 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
  501   997     1   0  6Jun26 ??         0:04.04 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  501   998     1   0  6Jun26 ??         0:08.67 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501   999     1   0  6Jun26 ??         0:00.04 /System/Library/CoreServices/APFSUserAgent
  501  1000     1   0  6Jun26 ??         0:00.05 /usr/libexec/mobilerepaird
  501  1002     1   0  6Jun26 ??         0:06.15 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
  501  1003     1   0  6Jun26 ??         9:30.60 /usr/libexec/nsurlsessiond
  501  1004     1   0  6Jun26 ??        14:31.80 /usr/libexec/rapportd
  501  1005     1   0  6Jun26 ??         0:31.22 /usr/sbin/usernoted
  501  1006     1   0  6Jun26 ??         5:22.16 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501  1007     1   0  6Jun26 ??         0:05.34 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  501  1008     1   0  6Jun26 ??         0:38.04 /usr/libexec/secinitd
