  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   765     1   0  6Jun26 ??       123:39.42 /usr/libexec/sysmond
  270   766     1   0  6Jun26 ??        60:07.01 /System/Library/DriverExtensions/AppleCentauriAlpha.dext/AppleCentauriAlpha com.apple.driver.AppleCentauriAlpha 0x10000180e com.apple.driver.AppleCentauriAlpha
  270   767     1   0  6Jun26 ??         0:00.67 /System/Library/DriverExtensions/AppleCentauriControl.dext/AppleCentauriControl com.apple.driver.AppleCentauriControl 0x10000180f com.apple.driver.AppleCentauriControl
  270   768     1   0  6Jun26 ??         6:34.93 /System/Library/DriverExtensions/AppleCentauriBeta.dext/AppleCentauriBeta com.apple.driver.AppleCentauriBeta 0x100001810 com.apple.driver.AppleCentauriBeta
    0   769   544   0  6Jun26 ??         0:02.05 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  278   771     1   0  6Jun26 ??         0:00.19 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
  278   772     1   0  6Jun26 ??         0:00.18 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
  278   773     1   0  6Jun26 ??         0:00.03 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
  278   774     1   0  6Jun26 ??         0:00.03 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceAFU.xpc/Contents/MacOS/UARPUpdaterServiceAFU
  278   775     1   0  6Jun26 ??         0:00.09 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
  278   776     1   0  6Jun26 ??         0:24.45 /usr/sbin/distnoted agent
  278   777     1   0  6Jun26 ??         0:00.11 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/ThunderboltAccessoryUpdaterService.xpc/Contents/MacOS/ThunderboltAccessoryUpdaterService
  278   779     1   0  6Jun26 ??         0:00.22 /System/Library/PrivateFrameworks/UARPAssetManager.framework/XPCServices/UARPAssetManagerServiceMobileAsset.xpc/Contents/MacOS/UARPAssetManagerServiceMobileAsset
    0   781     1   0  6Jun26 ??         2:14.49 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
    0   785     1   0  6Jun26 ??         3:39.63 /usr/libexec/wifip2pd
    0   786     1   0  6Jun26 ??         0:00.02 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
    0   790     1   0  6Jun26 ??         0:07.54 /usr/libexec/wifianalyticsd
    0   791     1   0  6Jun26 ??         0:01.67 /usr/libexec/countryd
  296   792     1   0  6Jun26 ??         0:00.37 /usr/libexec/aneuserd
    0   793     1   0  6Jun26 ??         3:42.94 /usr/libexec/aned
   55   807     1   0  6Jun26 ??         0:01.43 /System/Library/CoreServices/appleeventsd --server
    0   821     1   0  6Jun26 ??         0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
    0   844     1   0  6Jun26 ??         0:03.21 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  242   849     1   0  6Jun26 ??         0:24.30 /usr/sbin/distnoted agent
    0   860     1   0  6Jun26 ??         0:10.21 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
    0   864     1   0  6Jun26 ??         0:00.19 /usr/libexec/bootinstalld
  308   888     1   0  6Jun26 ??        23:50.67 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    0   903     1   0  6Jun26 ??         0:01.65 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
    0   905     1   0  6Jun26 ??         0:00.12 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
    0   906     1   0  6Jun26 ??         0:00.11 /System/Library/CoreServices/iconservicesagent runAsRoot
   89   907     1   0  6Jun26 ??         0:24.13 /usr/sbin/distnoted agent
    0   908     1   0  6Jun26 ??         0:01.35 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  441   919     1   0  6Jun26 ??         0:00.89 /usr/libexec/rosetta/oahd
   89   937     1   0  6Jun26 ??         0:01.26 /usr/libexec/trustd --agent
   89   941     1   0  6Jun26 ??         0:23.38 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker
  501   943     1   0  6Jun26 ??         3:19.74 /usr/sbin/distnoted agent
    0   954     1   0  6Jun26 ??         0:00.05 /usr/libexec/applekeystored
    0   956     1   0  6Jun26 ??         1:04.78 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
    0   960     1   0  6Jun26 ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
    0   967     1   0  6Jun26 ??         0:11.98 /System/Library/PrivateFrameworks/Ecosystem.framework/Support/ecosystemd
  501   971     1   0  6Jun26 ??         3:36.81 /usr/libexec/secd
    0   972     1   0  6Jun26 ??         0:00.07 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  501   974     1   0  6Jun26 ??         4:11.22 /usr/sbin/cfprefsd agent
  501   978     1   0  6Jun26 ??         0:49.32 /usr/libexec/UserEventAgent (Aqua)
  247   979     1   0  6Jun26 ??         0:30.65 /usr/libexec/gamecontrollerd
  260   980     1   0  6Jun26 ??         0:00.81 /usr/libexec/seld
  278   981     1   0  6Jun26 ??         0:00.61 /usr/libexec/uarpd
  501   983     1   0  6Jun26 ??         3:17.97 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  501   984     1   0  6Jun26 ??         3:21.00 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
